"customer_id","first_purchase","last_purchase","purchase_invoice_count","gross_spending","gross_units","product_diversity","net_spending","net_units","cancellation_invoice_count","recency_days"
"12346",2011-01-18 10:01:00,2011-01-18 10:01:00,1,77183.6,74215,1,0,0,1,325.117361111111
"12347",2010-12-07 14:57:00,2011-12-07 15:52:00,7,4310,2458,103,4310,2458,0,1.87361111111111
"12348",2010-12-16 19:09:00,2011-09-25 13:13:00,4,1797.24,2341,22,1797.24,2341,0,74.9840277777778
"12349",2011-11-21 09:51:00,2011-11-21 09:51:00,1,1757.55,631,73,1757.55,631,0,18.1243055555556
"12350",2011-02-02 16:01:00,2011-02-02 16:01:00,1,334.4,197,17,334.4,197,0,309.867361111111
"12352",2011-02-16 12:33:00,2011-11-03 14:37:00,8,2506.04,536,59,1545.41,470,3,35.9256944444444
"12353",2011-05-19 17:47:00,2011-05-19 17:47:00,1,89,20,4,89,20,0,203.79375
"12354",2011-04-21 13:11:00,2011-04-21 13:11:00,1,1079.4,530,58,1079.4,530,0,231.985416666667
"12355",2011-05-09 13:49:00,2011-05-09 13:49:00,1,459.4,240,13,459.4,240,0,213.959027777778
"12356",2011-01-18 09:50:00,2011-11-17 08:40:00,3,2811.43,1591,53,2811.43,1591,0,22.1736111111111
"12357",2011-11-06 16:07:00,2011-11-06 16:07:00,1,6207.67,2708,131,6207.67,2708,0,32.8631944444444
"12358",2011-07-12 10:04:00,2011-12-08 10:26:00,2,1168.06,248,13,1168.06,248,0,1.1
"12359",2011-01-12 12:43:00,2011-10-13 12:47:00,4,6310.03,1609,214,6182.98,1599,2,57.0020833333333
"12360",2011-05-23 09:43:00,2011-10-18 15:22:00,3,2662.06,1165,105,2662.06,1165,0,51.8944444444444
"12361",2011-02-25 13:51:00,2011-02-25 13:51:00,1,189.9,91,10,189.9,91,0,286.957638888889
"12362",2011-02-17 10:30:00,2011-12-06 15:40:00,10,5226.23,2229,201,5154.58,2212,3,2.88194444444444
"12363",2011-04-11 13:29:00,2011-08-22 10:18:00,2,552,408,23,552,408,0,109.105555555556
"12364",2011-08-19 15:24:00,2011-12-02 10:22:00,4,1313.1,1506,70,1313.1,1506,0,7.10277777777778
"12365",2011-02-21 13:51:00,2011-02-21 14:04:00,2,641.38,174,22,320.69,173,1,290.948611111111
"12367",2011-12-05 16:48:00,2011-12-05 16:48:00,1,168.9,173,11,168.9,173,0,3.83472222222222
"12370",2010-12-14 12:58:00,2011-10-19 14:51:00,4,3541.94,2352,143,3541.94,2352,0,50.9159722222222
"12371",2011-10-11 10:43:00,2011-10-26 10:16:00,2,1887.96,591,63,1887.96,591,0,44.1069444444444
"12372",2011-02-16 12:46:00,2011-09-29 12:12:00,3,1298.04,794,34,1298.04,794,0,71.0263888888889
"12373",2011-02-01 13:10:00,2011-02-01 13:10:00,1,364.6,197,14,364.6,197,0,310.986111111111
"12374",2011-11-14 15:37:00,2011-11-14 15:37:00,1,742.93,342,33,742.93,342,0,24.8840277777778
"12375",2011-09-02 14:23:00,2011-11-29 10:36:00,2,457.5,178,14,455.42,177,1,10.0930555555556
"12377",2010-12-20 09:37:00,2011-01-28 15:45:00,2,1628.12,944,72,1628.12,944,0,314.878472222222
"12378",2011-08-02 10:34:00,2011-08-02 10:34:00,1,4008.62,2529,219,4008.62,2529,0,129.094444444444
"12379",2011-06-22 16:32:00,2011-09-19 10:09:00,2,852.24,407,39,850.29,406,1,81.1118055555555
"12380",2011-06-07 09:49:00,2011-11-18 11:27:00,4,2724.81,1127,77,2720.56,1126,1,21.0576388888889
"12381",2011-08-12 09:57:00,2011-12-05 12:44:00,5,1845.31,808,70,1803.96,783,1,4.00416666666667
"12383",2010-12-22 14:28:00,2011-06-08 08:02:00,5,1850.56,1532,84,1839.31,1529,1,184.2
"12384",2011-08-10 11:23:00,2011-11-11 08:39:00,2,585.27,126,26,566.16,121,1,28.1743055555556
"12386",2010-12-08 09:53:00,2011-01-06 12:37:00,2,401.9,354,10,401.9,354,0,337.009027777778
"12388",2011-01-17 11:12:00,2011-11-24 12:30:00,6,2780.66,1462,57,2780.66,1462,0,15.0138888888889
"12390",2011-09-21 09:33:00,2011-09-21 09:33:00,1,549.84,353,32,549.84,353,0,79.1368055555556
"12391",2011-11-18 12:07:00,2011-11-18 12:07:00,1,439.66,293,92,439.66,293,0,21.0298611111111
"12393",2011-01-11 09:47:00,2011-09-28 15:41:00,4,1582.6,816,47,1582.6,816,0,71.88125
"12394",2011-05-06 14:01:00,2011-10-07 08:08:00,2,1272.48,819,26,1272.48,819,0,63.1958333333333
"12395",2010-12-03 16:35:00,2011-11-20 15:21:00,12,3018.63,2118,91,2998.28,2113,3,18.8951388888889
"12397",2011-07-27 14:21:00,2011-11-04 09:52:00,2,2409.9,1263,110,2409.9,1263,0,35.1236111111111
"12398",2011-10-25 10:27:00,2011-10-25 10:27:00,1,1635.66,1394,85,1635.66,1394,0,45.0993055555556
"12399",2011-03-23 09:42:00,2011-08-12 13:15:00,4,1108.65,1178,47,1108.65,1178,0,118.982638888889
"12401",2011-02-09 13:50:00,2011-02-09 13:50:00,1,84.3,11,5,84.3,11,0,302.958333333333
"12402",2011-01-20 13:49:00,2011-01-20 13:49:00,1,225.6,94,11,225.6,94,0,322.959027777778
"12403",2011-10-21 10:51:00,2011-10-21 10:51:00,1,427.7,96,5,409.7,95,1,49.0826388888889
"12405",2011-07-14 08:52:00,2011-07-14 08:52:00,1,1710.39,857,54,1710.39,857,0,148.165277777778
"12406",2011-06-09 10:23:00,2011-11-17 19:22:00,2,3415.3,1818,92,3280.75,1809,1,21.7277777777778
"12407",2011-03-20 13:21:00,2011-10-21 10:11:00,5,1708.12,1416,57,1708.12,1416,0,49.1104166666667
"12408",2011-03-24 14:46:00,2011-11-07 12:27:00,5,2888.55,1409,81,2842.57,1399,4,32.0159722222222
"12409",2011-06-10 12:19:00,2011-09-22 10:38:00,3,11072.67,5551,91,11056.93,5543,4,78.0916666666667
"12410",2011-02-04 10:38:00,2011-02-04 10:39:00,2,693.33,211,26,681.08,209,1,308.090972222222
"12412",2011-06-23 13:51:00,2011-09-26 10:16:00,3,1226.88,829,43,1226.88,829,0,74.1069444444445
"12413",2011-01-06 16:12:00,2011-10-04 09:00:00,3,758.1,286,29,694.15,282,2,66.1597222222222
"12414",2011-02-02 14:51:00,2011-05-06 14:51:00,3,562.41,300,16,562.41,300,0,216.915972222222
"12415",2011-01-06 11:12:00,2011-11-15 14:22:00,21,124914.53,77374,444,123725.45,76946,5,23.9361111111111
"12417",2010-12-17 11:51:00,2011-12-06 14:52:00,9,3649.1,1552,158,3578.8,1539,3,2.91527777777778
"12418",2011-08-19 11:08:00,2011-08-19 11:08:00,1,668.58,407,34,668.58,407,0,112.070833333333
"12420",2011-10-07 08:55:00,2011-10-07 08:55:00,1,600.39,345,29,600.39,345,0,63.1631944444444
"12421",2011-01-24 15:09:00,2011-11-24 09:07:00,4,807.04,484,32,806.27,483,1,15.1548611111111
"12422",2011-01-19 09:13:00,2011-09-05 09:48:00,3,803.56,370,39,803.56,370,0,95.1263888888889
"12423",2010-12-21 10:54:00,2011-12-09 10:10:00,8,1859.31,1339,97,1849.11,1327,1,0.111111111111111
"12424",2011-06-30 12:06:00,2011-06-30 12:06:00,2,1760.96,740,30,1760.96,740,0,162.030555555556
"12425",2011-09-22 17:31:00,2011-09-22 17:31:00,1,777.2,496,36,777.2,496,0,77.8048611111111
"12426",2011-05-29 12:26:00,2011-05-29 12:26:00,1,582.73,258,30,582.73,258,0,194.016666666667
"12427",2010-12-03 10:44:00,2011-11-18 08:56:00,3,825.8,533,26,708.37,236,2,21.1625
